1.0   4.36648312651e+54
1.5   8.56279640257e+54
2.0   1.38765042473e+55
2.5   2.01341971816e+55
3.0   2.71396634108e+55
3.5   3.4683522477e+55
4.0   4.25547298297e+55
4.5   5.05509072014e+55
5.0   5.84863729554e+55
5.5   6.61976242645e+55
6.0   7.35464544828e+55
6.5   8.04210841474e+55
7.0   8.6735745918e+55
7.5   9.24291518676e+55
8.0   9.74622220599e+55
8.5   1.01815388341e+56
9.0   1.05485719803e+56
9.5   1.08484053655e+56
10.0   1.10832260813e+56
10.5   1.12560730596e+56
11.0   1.13706123333e+56
11.5   1.14309412714e+56
12.0   1.14414219928e+56
12.5   1.1406542804e+56
13.0   1.13308056159e+56
13.5   1.12186367836e+56
14.0   1.1074318574e+56
14.5   1.09019384329e+56
15.0   1.07053533157e+56
15.5   1.04881665397e+56
16.0   1.02537148489e+56
16.5   1.00050636483e+56
17.0   9.74500862888e+55
17.5   9.47608226401e+55
18.0   9.2005638997e+55
18.5   8.92049237963e+55
19.0   8.63768034173e+55
19.5   8.35372949362e+55
20.0   8.0700463206e+55
20.5   7.78785780437e+55
21.0   7.50822683436e+55
21.5   7.23206707899e+55
22.0   6.96015715408e+55
22.5   6.69315398141e+55
23.0   6.43160527449e+55
23.5   6.17596112316e+55
24.0   5.92658467455e+55
24.5   5.68376192765e+55
25.0   5.44771067265e+55
25.5   5.21858861577e+55
26.0   4.99650073676e+55
26.5   4.78150592963e+55
27.0   4.57362297883e+55
27.5   4.3728359228e+55
28.0   4.17909885598e+55
28.5   3.9923402181e+55
29.0   3.81246661731e+55
29.5   3.6393662307e+55
30.0   3.47291182291e+55
30.5   3.31296342024e+55
31.0   3.15937067506e+55
31.5   3.01197495172e+55
32.0   2.87061116312e+55
32.5   2.73510938369e+55
33.0   2.60529626269e+55
33.5   2.480996259e+55
34.0   2.36203271664e+55
34.5   2.24822879837e+55
35.0   2.13940829286e+55
35.5   2.03539630936e+55
36.0   1.93601987229e+55
36.5   1.84110842703e+55
37.0   1.75049426694e+55
37.5   1.66401289034e+55
38.0   1.58150329578e+55
38.5   1.50280822243e+55
39.0   1.42777434226e+55
39.5   1.35625240957e+55
40.0   1.28809737297e+55
40.5   1.22316845455e+55
41.0   1.16132920001e+55
41.5   1.10244750378e+55
42.0   1.04639561198e+55
42.5   9.93050106472e+54
43.0   9.42291872364e+54
43.5   8.94006051368e+54
44.0   8.48081983076e+54
44.5   8.04413135962e+54
45.0   7.62897029765e+54
45.5   7.23435150699e+54
46.0   6.85932860775e+54
46.5   6.50299302399e+54
47.0   6.16447299238e+54
47.5   5.84293254278e+54
48.0   5.53757045839e+54
48.5   5.24761922269e+54
49.0   4.97234395913e+54
49.5   4.71104136904e+54
50.0   4.46303867234e+54
50.5   4.22769255525e+54
51.0   4.00438812835e+54
51.5   3.79253789814e+54
52.0   3.59158075464e+54
52.5   3.40098097716e+54
53.0   3.22022726012e+54
53.5   3.04883176043e+54
54.0   2.88632916764e+54
54.5   2.73227579783e+54
55.0   2.58624871204e+54
55.5   2.44784485974e+54
56.0   2.31668024775e+54
56.5   2.19238913489e+54
57.0   2.07462325235e+54
57.5   1.96305104986e+54
58.0   1.85735696749e+54
58.5   1.7572407328e+54
59.0   1.66241668322e+54
59.5   1.57261311305e+54
60.0   1.48757164495e+54
60.5   1.40704662518e+54
61.0   1.33080454227e+54
61.5   1.25862346856e+54
62.0   1.19029252388e+54
62.5   1.12561136109e+54
63.0   1.06438967257e+54
63.5   1.00644671719e+54
64.0   9.51610867257e+53
64.5   8.99719174504e+53
65.0   8.50616954841e+53
65.5   8.04157391007e+53
66.0   7.60201152607e+53
66.5   7.18616032898e+53
67.0   6.79276601726e+53
67.5   6.42063874014e+53
68.0   6.06864993217e+53
68.5   5.73572929173e+53
69.0   5.42086189791e+53
69.5   5.12308546028e+53
70.0   4.84148769626e+53
70.5   4.57520383077e+53
71.0   4.32341421335e+53
71.5   4.08534204769e+53
72.0   3.86025122879e+53
72.5   3.64744428342e+53
73.0   3.44626040911e+53
73.5   3.25607360767e+53
74.0   3.07629090889e+53
74.5   2.90635068056e+53
75.0   2.74572102094e+53
75.5   2.59389822991e+53
76.0   2.45040535535e+53
76.5   2.31479081117e+53
77.0   2.18662706391e+53
77.5   2.06550938452e+53
78.0   1.95105466248e+53
78.5   1.84290027918e+53
79.0   1.74070303794e+53
79.5   1.64413814788e+53
80.0   1.55289825909e+53
