1.0   6.50841800654e+54
1.5   1.45169321595e+55
2.0   2.48176676974e+55
2.5   3.66748681005e+55
3.0   4.94261303947e+55
3.5   6.25046474862e+55
4.0   7.54420682094e+55
4.5   8.78635625286e+55
5.0   9.94796521937e+55
5.5   1.10076790381e+56
6.0   1.19507632118e+56
6.5   1.27681486789e+56
7.0   1.34555233786e+56
7.5   1.40124872511e+56
8.0   1.44417811062e+56
8.5   1.47485950971e+56
9.0   1.4939958917e+56
9.5   1.50242129733e+56
10.0   1.5010557553e+56
10.5   1.4908675323e+56
11.0   1.47284213467e+56
11.5   1.44795740907e+56
12.0   1.41716405623e+56
12.5   1.38137086951e+56
13.0   1.34143403095e+56
13.5   1.29814983542e+56
14.0   1.2522502628e+56
14.5   1.20440087403e+56
15.0   1.15520056578e+56
15.5   1.10518277712e+56
16.0   1.05481779849e+56
16.5   1.00451588634e+56
17.0   9.5463093587e+55
17.5   9.05464507789e+55
18.0   8.57270044306e+55
18.5   8.10257143072e+55
19.0   7.6459578707e+55
19.5   7.20420453026e+55
20.0   6.77834041634e+55
20.5   6.36911589907e+55
21.0   5.97703739909e+55
21.5   5.60239949271e+55
22.0   5.24531437723e+55
22.5   4.90573870724e+55
23.0   4.5834978639e+55
23.5   4.27830775783e+55
24.0   3.98979429197e+55
24.5   3.71751062907e+55
25.0   3.46095241823e+55
25.5   3.21957113937e+55
26.0   2.9927857252e+55
26.5   2.77999261636e+55
27.0   2.58057440035e+55
27.5   2.39390717737e+55
28.0   2.21936678765e+55
28.5   2.05633402598e+55
29.0   1.90419895956e+55
29.5   1.76236445588e+55
30.0   1.63024901808e+55
30.5   1.50728901615e+55
31.0   1.39294039398e+55
31.5   1.28667992384e+55
32.0   1.1880060728e+55
32.5   1.09643953807e+55
33.0   1.01152350226e+55
33.5   9.32823653403e+54
34.0   8.59928009203e+54
34.5   7.9244658033e+54
35.0   7.30010902907e+54
35.5   6.72273466594e+54
36.0   6.18907061061e+54
36.5   5.69604060492e+54
37.0   5.24075662993e+54
37.5   4.8205109926e+54
38.0   4.4327682271e+54
38.5   4.0751569131e+54
39.0   3.7454614968e+54
39.5   3.44161418554e+54
40.0   3.1616869739e+54
40.5   2.90388384803e+54
41.0   2.66653320533e+54
41.5   2.44808051823e+54
42.0   2.24708126356e+54
42.5   2.06219413309e+54
43.0   1.8921745355e+54
43.5   1.73586839563e+54
44.0   1.59220625339e+54
44.5   1.46019766145e+54
45.0   1.3389258785e+54
45.5   1.22754285262e+54
46.0   1.12526448801e+54
46.5   1.03136618659e+54
47.0   9.45178655482e+53
47.5   8.66083970231e+53
48.0   7.93511883392e+53
48.5   7.26936367665e+53
49.0   6.65872382603e+53
49.5   6.09872853869e+53
50.0   5.58525854097e+53
50.5   5.11451974544e+53
51.0   4.68301876944e+53
51.5   4.28754015248e+53
52.0   3.92512517251e+53
52.5   3.59305216472e+53
53.0   3.28881824997e+53
53.5   3.0101223843e+53
54.0   2.75484964456e+53
54.5   2.52105666951e+53
55.0   2.30695817987e+53
55.5   2.11091450447e+53
56.0   1.93142004409e+53
56.5   1.76709260805e+53
57.0   1.61666356259e+53
57.5   1.47896873366e+53
58.0   1.35294001024e+53
58.5   1.23759759771e+53
59.0   1.1320428739e+53
59.5   1.03545180369e+53
60.0   9.47068870847e+52
60.5   8.66201488404e+52
61.0   7.9221485189e+52
61.5   7.24527201769e+52
62.0   6.62605464053e+52
62.5   6.05961240134e+52
63.0   5.54147118967e+52
63.5   5.06753286672e+52
64.0   4.63404410415e+52
64.5   4.23756775143e+52
65.0   3.8749565332e+52
65.5   3.54332889285e+52
66.0   3.24004681243e+52
66.5   2.96269545163e+52
67.0   2.70906446081e+52
67.5   2.47713083374e+52
68.0   2.26504317644e+52
68.5   2.07110727792e+52
69.0   1.89377287727e+52
69.5   1.73162153023e+52
70.0   1.58335548562e+52
70.5   1.44778748917e+52
71.0   1.32383143903e+52
71.5   1.2104938228e+52
72.0   1.10686587209e+52
72.5   1.01211637524e+52
73.0   9.25485093969e+51
73.5   8.4627673382e+51
74.0   7.73855422597e+51
74.5   7.07639654454e+51
75.0   6.4709766091e+51
75.5   5.91743173169e+51
76.0   5.4113154304e+51
76.5   4.94856192441e+51
77.0   4.52545363948e+51
77.5   4.13859147112e+51
78.0   3.78486757358e+51
78.5   3.4614404621e+51
79.0   3.16571223337e+51
79.5   2.8953077254e+51
80.0   2.64805545306e+51
