age   2.0   2.1   2.2   2.3   2.35
0.0   1.3264006791171477e-43   1.7085839256424276e-43   2.260234341096485e-43   3.0733674272226596e-43   3.600230414746544e-43
1.0   6.364043662430759e-44   8.208994431018178e-44   1.0862764182424919e-43   1.4737785323523866e-43   1.7261378700839595e-43
2.0   4.06477627471384e-44   5.255810824447509e-44   6.961771520228124e-44   9.438806330796184e-44   1.1077632045373981e-43
3.0   2.9824393968314564e-44   3.8475744890421085e-44   5.0809703433923e-44   6.876292743035691e-44   8.064516129032259e-44
4.0   2.6115661039612234e-44   3.3379619739371933e-44   4.38288920056101e-44   5.922823244001366e-44   6.923520028358739e-44
5.0   2.4232320099255586e-44   3.092222442113596e-44   4.0322580645161294e-44   5.408071438460475e-44   6.308288586539627e-44
6.0   2.3120745782775973e-44   2.9304201050262566e-44   3.818426197458456e-44   5.0809703433923e-44   5.90893620239761e-44
7.0   2.2302312303739654e-44   2.8158226707514867e-44   3.6524076671341753e-44   4.846464019851117e-44   5.631645341502973e-44
8.0   2.1725528364849835e-44   2.7393057503506315e-44   3.5495229441163107e-44   4.666965352449223e-44   5.419701699618453e-44
9.0   2.126718388457874e-44   2.6668373442566993e-44   3.452275740167919e-44   4.54083115373438e-44   5.261297057040878e-44
10.0   2.0914201579440503e-44   2.625168010752688e-44   3.3827668326477594e-44   4.4213355970571596e-44   5.127489909099859e-44
12.0   2.03238813735692e-44   2.545617464972304e-44   3.251821019771072e-44   4.271459814106069e-44   4.941492726122707e-44
14.0   1.9922223638913682e-44   2.4829175274114096e-44   3.170014201663624e-44   4.1314119513484927e-44   4.755021302495435e-44
16.0   1.9612150119241874e-44   2.4349384447561167e-44   3.111310234966149e-44   4.0322580645161294e-44   4.666965352449223e-44
18.0   1.9311580768755408e-44   2.400153609831029e-44   3.0547409579667646e-44   3.968757937515875e-44   4.54083115373438e-44
20.0   1.909213098729228e-44   2.366348629410874e-44   3.0001920122887866e-44   3.9072268067016756e-44   4.460462460747931e-44
25.0   1.8667861409796895e-44   2.3120745782775973e-44   2.9134812604885324e-44   3.7614347616754933e-44   4.307968017645437e-44
30.0   1.8395337885566283e-44   2.260234341096485e-44   2.8476398760707124e-44   3.6790675771132566e-44   4.2002688172043014e-44
35.0   1.8130656764910653e-44   2.2302312303739654e-44   2.800179211469534e-44   3.600230414746544e-44   4.0978232362968794e-44
40.0   1.7937091034324417e-44   2.201014227355966e-44   2.7694080113434954e-44   3.524701105346267e-44   4.0322580645161294e-44
45.0   1.781032714008891e-44   2.1819578271191173e-44   2.724498692240628e-44   3.4760845383759733e-44   3.968757937515875e-44
50.0   1.7685342388228636e-44   2.1632285753841895e-44   2.695359668794204e-44   3.428790871187185e-44   3.9072268067016756e-44
60.0   1.7440562562786026e-44   2.126718388457874e-44   2.6528013582342956e-44   3.360215053763441e-44   3.818426197458456e-44
70.0   1.73206961534198e-44   2.1089215818599004e-44   2.6115661039612234e-44   3.3160016977928694e-44   3.7614347616754933e-44
80.0   1.7143954355935925e-44   2.0827779258864305e-44   2.5847808105872625e-44   3.2729367406786765e-44   3.706119544592031e-44
90.0   1.7028116826503924e-44   2.0657059756742464e-44   2.558539381038153e-44   3.230976013234078e-44   3.6524076671341753e-44
100.0   1.6913834163238797e-44   2.0489116181484397e-44   2.532825417409629e-44   3.1900775826868114e-44   3.600230414746544e-44
120.0   1.674525774300718e-44   2.024225936002073e-44   2.495209198339189e-44   3.1306351432578646e-44   3.524701105346267e-44
140.0   1.6634727988927926e-44   2.008096645675363e-44   2.4707463630613537e-44   3.092222442113596e-44   3.4760845383759733e-44
160.0   1.6525647805393972e-44   1.9922223638913682e-44   2.446758534293768e-44   3.0547409579667646e-44   3.428790871187185e-44
180.0   1.6417988862036356e-44   1.976597090449083e-44   2.4232320099255586e-44   3.0181572339192583e-44   3.3827668326477594e-44
200.0   1.6311723561958454e-44   1.9612150119241874e-44   2.400153609831029e-44   3.0001920122887866e-44   3.360215053763441e-44
250.0   1.615488006617039e-44   1.9385856079404468e-44   2.366348629410874e-44   2.9304201050262566e-44   3.294328484081805e-44
300.0   1.605198274090816e-44   1.9164724641236355e-44   2.3334826762246116e-44   2.8967371153133113e-44   3.230976013234078e-44
350.0   1.5900071232319122e-44   1.9020085209981743e-44   2.3120745782775973e-44   2.863819648093842e-44   3.1900775826868114e-44
400.0   1.585007100831812e-44   1.8877612661592366e-44   2.2910557184750735e-44   2.831641899238855e-44   3.150201612903226e-44
450.0   1.575100806451613e-44   1.8807173808377467e-44   2.280688950518173e-44   2.800179211469534e-44   3.111310234966149e-44
500.0   1.5701939503567483e-44   1.8667861409796895e-44   2.260234341096485e-44   2.78470860809125e-44   3.092222442113596e-44
600.0   1.5556551174830746e-44   1.8462720075623303e-44   2.2302312303739654e-44   2.7393057503506315e-44   3.0363389040031093e-44
700.0   1.546111221056798e-44   1.8328445747800588e-44   2.2106677985285798e-44   2.7098508498092267e-44   3.0001920122887866e-44
800.0   1.53668371361133e-44   1.8196110399441016e-44   2.191444600280505e-44   2.6810226492793414e-44   2.9648956356736243e-44
900.0   1.5273704789833823e-44   1.806567233206151e-44   2.1725528364849835e-44   2.6528013582342956e-44   2.9304201050262566e-44
1000.0   1.5227560666601696e-44   1.800115207373272e-44   2.1539840088227184e-44   2.625168010752688e-44   2.8967371153133113e-44
1200.0   1.5090786169596292e-44   1.7747614720581554e-44   2.126718388457874e-44   2.5847808105872625e-44   2.8476398760707124e-44
