age   2.0   2.1   2.2   2.3   2.35
0.0   1.3771373171161645e-43   1.781032714008891e-43   2.3552909255351223e-43   3.2103965481816317e-43   3.761434761675494e-43
1.0   6.632003395585739e-44   8.571977177967962e-44   1.135207788433595e-43   1.5413830521850648e-43   1.8130656764910653e-43
2.0   4.271459814106069e-44   5.502535568389914e-44   7.294243966201392e-44   9.90240192661132e-44   1.1640467853683977e-43
3.0   3.1306351432578646e-44   4.0322580645161294e-44   5.344986829952451e-44   7.252262705964261e-44   8.514058413251962e-44
4.0   2.7542746342323287e-44   3.524701105346267e-44   4.666965352449223e-44   6.269057936125823e-44   7.336714091186553e-44
5.0   2.558539381038153e-44   3.2729367406786765e-44   4.271459814106069e-44   5.734155381848875e-44   6.693655485584543e-44
6.0   2.446758534293768e-44   3.111310234966149e-44   4.06477627471384e-44   5.408071438460475e-44   6.292537553864123e-44
7.0   2.366348629410874e-44   3.0001920122887866e-44   3.9072268067016756e-44   5.180187647117329e-44   6.014704750173224e-44
8.0   2.3120745782775973e-44   2.9134812604885324e-44   3.7897162260489936e-44   4.990418396678378e-44   5.8068232495912e-44
9.0   2.260234341096485e-44   2.8476398760707124e-44   3.6790675771132566e-44   4.893517068587536e-44   5.64425820900914e-44
10.0   2.2302312303739654e-44   2.800179211469534e-44   3.6261313529821306e-44   4.755021302495435e-44   5.514576127620526e-44
12.0   2.1725528364849835e-44   2.724498692240628e-44   3.5002240143369177e-44   4.582111436950147e-44   5.305602716468591e-44
14.0   2.1357299070530345e-44   2.6668373442566993e-44   3.405623365300785e-44   4.460462460747931e-44   5.148439816797918e-44
16.0   2.1001344086021507e-44   2.625168010752688e-44   3.3379619739371933e-44   4.38288920056101e-44   5.040322580645161e-44
18.0   2.0742068233107662e-44   2.5847808105872625e-44   3.294328484081805e-44   4.271459814106069e-44   4.941492726122707e-44
20.0   2.0489116181484397e-44   2.545617464972304e-44   3.251821019771072e-44   4.2355651938194636e-44   4.846464019851117e-44
25.0   2.008096645675363e-44   2.495209198339189e-44   3.150201612903226e-44   4.0978232362968794e-44   4.666965352449223e-44
30.0   1.9843789687579375e-44   2.446758534293768e-44   3.092222442113596e-44   4.0002560163850492e-44   4.582111436950147e-44
35.0   1.9612150119241874e-44   2.4116375983948144e-44   3.0547409579667646e-44   3.9072268067016756e-44   4.460462460747931e-44
40.0   1.9385856079404468e-44   2.3887784742394133e-44   3.0001920122887866e-44   3.8475744890421085e-44   4.38288920056101e-44
45.0   1.9237872445210542e-44   2.366348629410874e-44   2.9824393968314564e-44   3.818426197458456e-44   4.345105672969967e-44
50.0   1.909213098729228e-44   2.3443360840210054e-44   2.9475570647047733e-44   3.7614347616754933e-44   4.271459814106069e-44
60.0   1.8948581130244968e-44   2.32272929983648e-44   2.8967371153133113e-44   3.706119544592031e-44   4.2002688172043014e-44
70.0   1.873725866410841e-44   2.2910557184750735e-44   2.863819648093842e-44   3.6524076671341753e-44   4.1314119513484927e-44
80.0   1.859897631234377e-44   2.27041557686719e-44   2.831641899238855e-44   3.600230414746544e-44   4.0978232362968794e-44
90.0   1.8530597722960154e-44   2.260234341096485e-44   2.8158226707514867e-44   3.5746968657057886e-44   4.0322580645161294e-44
100.0   1.8395337885566283e-44   2.2401433691756274e-44   2.78470860809125e-44   3.524701105346267e-44   4.0002560163850492e-44
120.0   1.8262038335670876e-44   2.220406423191701e-44   2.7542746342323287e-44   3.4760845383759733e-44   3.9377520161290324e-44
140.0   1.8130656764910653e-44   2.201014227355966e-44   2.724498692240628e-44   3.452275740167919e-44   3.8771712158808935e-44
160.0   1.800115207373272e-44   2.191444600280505e-44   2.7098508498092267e-44   3.405623365300785e-44   3.8475744890421085e-44
180.0   1.7937091034324417e-44   2.1725528364849835e-44   2.695359668794204e-44   3.3827668326477594e-44   3.818426197458456e-44
200.0   1.7873484328528943e-44   2.1632285753841895e-44   2.6668373442566993e-44   3.360215053763441e-44   3.7897162260489936e-44
250.0   1.7685342388228636e-44   2.144818119423473e-44   2.6389123458875193e-44   3.3160016977928694e-44   3.706119544592031e-44
300.0   1.7562099584129482e-44   2.126718388457874e-44   2.6115661039612234e-44   3.2729367406786765e-44   3.6790675771132566e-44
350.0   1.7501120071684588e-44   2.1089215818599004e-44   2.5981044230129695e-44   3.230976013234078e-44   3.6261313529821306e-44
400.0   1.7380422691879867e-44   2.1001344086021507e-44   2.5715931533903887e-44   3.210396548181632e-44   3.600230414746544e-44
450.0   1.73206961534198e-44   2.0827779258864305e-44   2.558539381038153e-44   3.1900775826868114e-44   3.5746968657057886e-44
500.0   1.7261378700839594e-44   2.0742068233107662e-44   2.545617464972304e-44   3.170014201663624e-44   3.5495229441163107e-44
600.0   1.7143954355935925e-44   2.057274522712311e-44   2.5201612903225804e-44   3.1306351432578646e-44   3.5002240143369177e-44
700.0   1.7028116826503924e-44   2.0406164294109966e-44   2.495209198339189e-44   3.111310234966149e-44   3.4760845383759733e-44
800.0   1.6913834163238797e-44   2.03238813735692e-44   2.4829175274114096e-44   3.07336742722266e-44   3.452275740167919e-44
900.0   1.6857266156003886e-44   2.0161290322580647e-44   2.4707463630613537e-44   3.0547409579667646e-44   3.405623365300785e-44
1000.0   1.674525774300718e-44   2.008096645675363e-44   2.446758534293768e-44   3.0363389040031093e-44   3.3827668326477594e-44
1200.0   1.6580008488964347e-44   1.9843789687579375e-44   2.4232320099255586e-44   2.9824393968314564e-44   3.3379619739371933e-44
1400.0   1.6471642420409025e-44   1.9688760080645162e-44   2.3887784742394133e-44   2.9475570647047733e-44   3.294328484081805e-44
